CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2
ABUDHABI,AHMEDABAD,4662.0,3550.0,93.089,169.786
ABUDHABI,AMRITSAR,1369.0,122.0,0.72,0.0
ABUDHABI,BENGALURU,5727.0,5168.0,245.079,463.55
ABUDHABI,CHENNAI,6783.0,7074.0,87.601,137.9253
ABUDHABI,DELHI,13816.0,11639.0,56.021,202.48
ABUDHABI,HYDERABAD,6148.0,4227.0,200.204,205.35
ABUDHABI,KOCHI,10909.0,8427.0,76.981,250.749
ABUDHABI,KOZHIKODE,11273.0,6263.0,3.222,51.02
ABUDHABI,LUCKNOW,1688.0,1036.0,0.3,0.0
ABUDHABI,MUMBAI,9689.0,7764.0,399.81,642.8761999999999
ABUDHABI,TIRUCHIRAPALLY,1628.0,1116.0,0.22,12.592
ABUDHABI,TRIVANDRUM,6244.0,4860.0,0.875,80.471
ABUDHABI,KANNUR,8205.0,3575.0,0.1,0.0
ABUDHABI,MANGALORE,2012.0,1350.0,0.1,8.485
ADDIS ABABA,DELHI,2460.0,3479.0,19.267,85.289
ADDIS ABABA,KOCHI,0.0,249.0,0.0,0.0
ADDIS ABABA,MUMBAI,2453.0,2774.0,0.0,0.0
ADDU CITY,KOCHI,0.0,510.0,0.0,0.0
ADEN,MUMBAI,367.0,879.0,0.0,5.066
ALMATY,DELHI,0.0,427.0,0.0,0.598
AMMAN,MUMBAI,0.0,219.0,0.0,0.0
AMSTERDAM,DELHI,12109.0,18261.0,1055.858,966.737
AMSTERDAM,MUMBAI,5975.0,12351.0,978.744,1073.724
BAGHDAD,DELHI,588.0,1005.0,0.0,0.0
BAHRAIN,BENGALURU,123.0,373.0,564.114,27.615
BAHRAIN,CHENNAI,1831.0,2280.0,5.693,45.608
BAHRAIN,DELHI,6012.0,6430.0,16.2615,72.78710000000001
BAHRAIN,HYDERABAD,2002.0,2170.0,0.461,45.401
BAHRAIN,KOCHI,5988.0,7026.0,2.802,127.915
BAHRAIN,KOZHIKODE,4952.0,4068.0,1.487,86.057
BAHRAIN,MUMBAI,1847.0,4920.0,3.312,93.8698
BAHRAIN,TIRUCHIRAPALLY,28.0,0.0,0.0,0.0
BAHRAIN,TRIVANDRUM,2059.0,2411.0,2.485,35.111
BAHRAIN,KANNUR,1148.0,1163.0,0.0,0.0
BAHRAIN,MANGALORE,996.0,883.0,0.0,10.708
BANGKOK,BENGALURU,0.0,0.0,5481.409,0.0
BANGKOK,CHENNAI,167.0,51.0,935.256,518.939
BANGKOK,DELHI,1971.0,184.0,1212.2091200000002,499.37326
BANGKOK,HYDERABAD,0.0,0.0,0.0,67.02075
BANGKOK,KOLKATA,16.0,37.0,10.0,315.0
BANGKOK,MUMBAI,0.0,0.0,824.97323,531.7310200000001
BIRMINGHAM,AMRITSAR,775.0,874.0,0.0,18.13
BISHKEK,DELHI,3.0,641.0,0.0,0.115
BOKHTAR,DELHI,0.0,0.0,0.0,28.46801
BRUSELLS,DELHI,0.0,0.0,14.6875,0.0
BRUSELLS,MUMBAI,0.0,0.0,33.185900000000004,141.15827
CAIRO,MUMBAI,0.0,0.0,368.696,1283.843
CHICAGO,DELHI,18038.0,25233.0,643.9809399999999,584.06925
CHICAGO,HYDERABAD,276.0,0.0,8.384,0.0
COLOMBO,BENGALURU,333.0,1205.0,168.859,269.266
COLOMBO,CHENNAI,3296.0,4892.0,770.3285,912.831
