NAME OF THE COUNTRY,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA
AFGHANISTAN,7941.0,5129.0,361.57640000000004,920.573
ARMENIA,77.0,16311.0,0.0,0.0
BAHRAIN,26986.0,31724.0,596.6155,545.0719
BANGLADESH,4210.0,4847.0,1094.2244100000003,2617.9766099999993
BELGIUM,0.0,0.0,66.82486999999999,246.27727
BHUTAN,1411.0,1391.0,0.472,22.8722
BULGARIA,0.0,0.0,0.0,179.22307
BURMA,307.0,105.0,490.77074,1489.8773700000002
CANADA,2284.0,4109.0,25.608,67.55
CHINA,0.0,0.0,3772.4570400000002,1943.464
EGYPT,0.0,0.0,368.696,1283.843
ETHIOPIA,4913.0,6502.0,19.267,85.289
FRANCE,20752.0,41174.0,2620.4292,4538.5159
GEORGIA,482.0,1472.0,0.0,34.444
GERMANY,36567.0,63574.0,13405.935010000001,21664.28946
HONG KONG,603.0,408.0,30653.40124,13818.58434
IRAN,739.0,1010.0,29.507,195.565
IRAQ,588.0,1005.0,0.0,0.0
ISRAEL,738.0,1254.0,152.63389999999998,726.4755
ITALY,633.0,716.0,42.3045,27.184
JAPAN,4330.0,4375.0,905.435,1235.2096999999999
JORDAN,0.0,219.0,0.0,0.0
KAZAKHSTAN,0.0,427.0,0.0,0.598
KENYA,1616.0,2468.0,1.833,29.3473
KOREA,1434.0,656.0,969.4119400000001,502.51061
KUWAIT,63583.0,22136.0,78.337,4659.3322
KYRGYZSTAN,3.0,1033.0,0.0,0.115
LAOS,177.0,0.0,0.0,0.0
MALAYSIA,14788.0,477.0,5148.825,3866.9082000000003
MALDIVES,54438.0,123482.0,5.572,1037.26685
MALTA,0.0,0.0,0.0,70.641
MAURITIUS,409.0,1224.0,4.243,869.027
NEPAL,12545.0,11493.0,36.353,273.093
NETHERLANDS,18084.0,30612.0,2034.602,2071.84729
NIGERIA,0.0,320.0,6.608,534.6279900000001
OMAN,67029.0,48101.0,858.22043,2611.7589
POLAND,0.0,0.0,487.037,1211.18
PORTUGAL,0.0,0.0,0.0,72.33198999999999
QATAR,283086.0,370553.0,23471.933340000003,32600.096390000006
RUSSIA,10710.0,14483.0,91.9111,652.7216
RWANDA,289.0,442.0,0.0,0.0
SAUDI ARABIA,70160.0,19592.0,11.053,878.9961999999999
SCOTLAND,0.0,119.0,0.0,0.0
SEYCHELLES,665.0,2822.0,0.0,0.0
SINGAPORE,18210.0,4125.0,834.8210300000001,2028.8512
SOUTH AFRICA,0.0,0.0,0.0,36.462
SRI LANKA,7556.0,13949.0,1835.2448,1928.7347
SWITZERLAND,0.0,0.0,843.992,1318.087
TAJIKISTAN,169.0,0.0,0.0,28.46801
THAILAND,2154.0,272.0,8464.257350000002,1932.06403
TURKEY,0.0,1906.0,8817.9225,13145.911
UNITED ARAB EMIRATES,692134.0,779141.0,17934.925642000002,60268.269598000006
UNITED KINGDOM,69077.0,118249.0,6589.16607,10364.616100000001
UNITED STATES,106150.0,129676.0,2303.8385,4274.206119999999
UZBEKISTAN,2741.0,4827.0,60.23,269.44685
VIETNAM,0.0,81.0,3324.534349999999,95.018
YEMEN,367.0,879.0,0.0,5.066
