NAME OF THE AIRLINE ,OCTOBER PASSENGERS TO INDIA,OCTOBER PASSENGERS FROM INDIA,OCTOBER FREIGHT TO INDIA,OCTOBER FREIGHT FROM INDIA,NOVEMBER PASSENGERS TO INDIA,NOVEMBER PASSENGERS FROM INDIA,NOVEMBER FREIGHT TO INDIA,NOVEMBER FREIGHT FROM INDIA,DECEMBER PASSENGERS TO INDIA,DECEMBER PASSENGERS FROM INDIA,DECEMBER FREIGHT TO INDIA,DECEMBER FREIGHT FROM INDIA
AIR INDIA,153126.0,141343.0,2801.4197000000004,4079.5091,175686.0,173735.0,2705.901199999999,3515.0122000000006,181860.0,192880.0,3388.6930000000007,3707.8883
AIR INDIA EXPRESS,106593.0,136076.0,445.674,1762.782,109219.0,147818.0,470.491,1559.528,143776.0,164653.0,456.231,1443.996
BLUE DART AVIATION,0.0,0.0,718.35,27.542,0.0,0.0,197.216,422.719,0.0,0.0,314.759,548.389
GO AIR,33818.0,43814.0,309.583,229.04078,37011.0,40715.0,0.0,231.71268000000003,45555.0,54690.0,0.0,310.4963200000001
INDIGO,134794.0,171968.0,1039.447,4349.511,159124.0,187754.0,662.561,2767.557,202470.0,232158.0,544.02,3224.601
SPICEJET,37103.0,46275.0,2828.2834000000003,1752.19964,40487.0,42206.0,2764.2737899999997,1538.4249700000003,49815.0,55076.0,2393.2862499999997,1380.5438800000002
VISTARA AIRLINES,16827.0,23869.0,433.5895,579.514,24035.0,24753.0,481.0243,620.031,30172.0,34343.0,465.1615,630.737
