CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2
ABUDHABI,AHMEDABAD,3083.0,998.0,550.804,1647.828
ABUDHABI,AMRITSAR,1783.0,155.0,0.295,0.0
ABUDHABI,BENGALURU,2259.0,1414.0,411.977,878.07
ABUDHABI,CHENNAI,5787.0,2183.0,515.997,803.503
ABUDHABI,DELHI,18696.0,2121.0,867.256,2015.7811000000002
ABUDHABI,HYDERABAD,6434.0,1284.0,416.614,451.239
ABUDHABI,KOCHI,12853.0,3846.0,288.707,765.9
ABUDHABI,KOZHIKODE,7833.0,1592.0,9.025,39.34
ABUDHABI,LUCKNOW,3219.0,161.0,0.484,0.0
ABUDHABI,MUMBAI,5563.0,1715.0,604.959,1222.8385
ABUDHABI,TIRUCHIRAPALLY,1430.0,254.0,0.18,6.648
ABUDHABI,TRIVANDRUM,5545.0,1437.0,2.775,149.533
ABUDHABI,KANNUR,6499.0,1002.0,0.0,0.0
ABUDHABI,MANGALORE,2100.0,491.0,0.0,4.028
ADDIS ABABA,DELHI,2176.0,2586.0,34.255,92.047
ADEN,MUMBAI,386.0,546.0,0.0,4.316
AKTOBE,DELHI,0.0,153.0,0.0,0.0
ALMATY,DELHI,0.0,0.0,0.0,31.228
AMSTERDAM,DELHI,6369.0,11328.0,816.572,1105.41
AMSTERDAM,MUMBAI,2196.0,8099.0,1151.354,1360.44
BAGHDAD,DELHI,1116.0,3024.0,0.0,0.0
BAHRAIN,BENGALURU,18.0,0.0,714.684,0.0
BAHRAIN,CHENNAI,1142.0,1638.0,5.849,23.067
BAHRAIN,DELHI,4141.0,6198.0,71.781,195.0914
BAHRAIN,HYDERABAD,1496.0,1476.0,0.7,31.79
BAHRAIN,KOCHI,3085.0,4289.0,10.093,80.431
BAHRAIN,KOZHIKODE,3860.0,3615.0,2.245,97.15
BAHRAIN,MUMBAI,757.0,3410.0,4.392,96.28
BAHRAIN,TIRUCHIRAPALLY,165.0,160.0,0.0,0.0
BAHRAIN,TRIVANDRUM,1403.0,1739.0,2.493,30.815
BAHRAIN,KANNUR,877.0,1154.0,0.0,0.0
BAHRAIN,MANGALORE,560.0,756.0,0.0,3.22
BANGKOK,BENGALURU,0.0,0.0,5115.393,0.0
BANGKOK,CHENNAI,78.0,169.0,359.577,118.559
BANGKOK,DELHI,1660.0,667.0,1184.2692,516.5281
BANGKOK,HYDERABAD,0.0,0.0,0.0,12.49201
BANGKOK,KOLKATA,0.0,0.0,30.058,251.235
BANGKOK,LUCKNOW,0.0,39.0,0.0,0.0
BANGKOK,MUMBAI,0.0,0.0,672.299,613.8159
BIRMINGHAM,AMRITSAR,0.0,193.0,0.0,0.0
BOKHTAR,DELHI,0.0,0.0,3.687,35.803
"Brandenburg,Berlin",DELHI,0.0,0.0,13.6275,0.0
BRUSELLS,DELHI,0.0,0.0,17.684,0.0
BRUSELLS,MUMBAI,0.0,0.0,100.8446,390.31618000000003
CAIRO,MUMBAI,0.0,44.0,580.851,1172.964
CHICAGO,DELHI,14949.0,23099.0,718.34321,633.75594
CHICAGO,HYDERABAD,766.0,1180.0,18.8142,6.7187
CHICAGO,MUMBAI,0.0,0.0,0.0,0.068
CHITTAGONG,CHENNAI,0.0,3.0,0.0,0.0
CHITTAGONG,KOLKATA,520.0,868.0,0.0,0.0
COLOMBO,BENGALURU,2.0,44.0,126.737,126.661
COLOMBO,CHENNAI,2126.0,1371.0,882.3713,772.037
COLOMBO,DELHI,881.0,200.0,184.424,148.9567
COLOMBO,MUMBAI,178.0,280.0,846.546,488.993
Columbus,DELHI,0.0,0.0,4.558,0.0
DAMMAM,DELHI,2313.0,218.0,0.12,13.404
DAMMAM,HYDERABAD,895.0,15.0,0.0,0.0
DAMMAM,KOCHI,1008.0,0.0,0.0,47.953
DAMMAM,KOZHIKODE,2493.0,0.0,0.0,136.815
DAMMAM,LUCKNOW,7319.0,0.0,0.376,0.0
DAMMAM,MUMBAI,515.0,0.0,0.0,7.4386
DAMMAM,TIRUCHIRAPALLY,131.0,0.0,0.0,3.458
DAMMAM,TRIVANDRUM,1680.0,0.0,0.0,22.0
DAMMAM,MANGALORE,2046.0,0.0,0.0,7.964
DHAKA,CHENNAI,354.0,501.0,16.966,83.57082
DHAKA,DELHI,1780.0,1488.0,503.04839000000004,301.74447
DHAKA,KOLKATA,2437.0,2517.0,89.557,1590.62331
DHAKA,MUMBAI,0.0,0.0,104.96773999999999,150.55401
DOHA,AHMEDABAD,3217.0,4062.0,1899.7552599999997,2235.43079
DOHA,AMRITSAR,3071.0,3301.0,0.854,22.278
DOHA,BENGALURU,7471.0,9177.0,2932.71016,5221.66796
DOHA,CHENNAI,14040.0,17111.0,5638.064359999999,6105.0701500000005
DOHA,DELHI,33400.0,41969.0,4632.25976,5996.958459999999
DOHA,GOA,217.0,91.0,0.149,5.847770000000001
DOHA,HYDERABAD,16768.0,20265.0,2509.85833,2860.4608599999997
DOHA,JAIPUR,520.0,0.0,0.12,0.0
DOHA,KOCHI,22509.0,23625.0,452.67259,1317.5085
DOHA,KOLKATA,2857.0,2270.0,1209.0481499999999,1203.23051
DOHA,KOZHIKODE,14383.0,13561.0,605.01,811.542
DOHA,LUCKNOW,73.0,0.0,0.0,0.0
DOHA,MUMBAI,13813.0,27183.0,6818.11047,7600.0476
DOHA,TIRUCHIRAPALLY,1358.0,544.0,65.547,69.546
DOHA,TRIVANDRUM,7507.0,7175.0,1.212,261.0685
DOHA,KANNUR,7956.0,7982.0,143.386,0.05
DOHA,MANGALORE,1218.0,1065.0,183.778,81.529
DUBAI,AHMEDABAD,16034.0,9205.0,692.4285,1559.353592
DUBAI,AMRITSAR,11337.0,5480.0,5.808,23.1331
DUBAI,BENGALURU,16847.0,9065.0,3938.133031,5623.266213
DUBAI,CHENNAI,35132.0,15800.0,2785.9007030000002,4114.361151
DUBAI,DELHI,74962.0,36404.0,4091.7574060000006,9390.125297
DUBAI,GOA,335.0,338.0,0.0,5.32053
DUBAI,HYDERABAD,39926.0,17296.0,1027.415,3509.4039900000002
DUBAI,JAIPUR,3214.0,1446.0,1.664,11.106
DUBAI,KOCHI,33434.0,17991.0,983.199,2104.325001
DUBAI,KOLKATA,12497.0,5161.0,894.9019000000001,1226.887214
DUBAI,KOZHIKODE,26978.0,17618.0,110.542,608.116
DUBAI,LUCKNOW,21515.0,8316.0,2.857,171.848
DUBAI,MUMBAI,30860.0,24681.0,4746.184663,12557.484187999999
DUBAI,TIRUCHIRAPALLY,8591.0,3331.0,1.431,214.832
DUBAI,TRIVANDRUM,16933.0,8333.0,79.293,1551.2145
DUBAI,KANNUR,3609.0,1152.0,0.309,0.0
