CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2
ABUDHABI,AHMEDABAD,19945.0,19379.0,243.296,865.694
ABUDHABI,AMRITSAR,1080.0,1139.0,0.41,0.0
ABUDHABI,BENGALURU,8993.0,9459.0,555.066,1177.273
ABUDHABI,CHENNAI,21437.0,18730.0,214.784,297.516
ABUDHABI,DELHI,39586.0,39905.0,419.789,1079.5634
ABUDHABI,HYDERABAD,16591.0,12807.0,254.907,331.252
ABUDHABI,KOCHI,35477.0,39053.0,315.47909999999996,583.0644
ABUDHABI,KOZHIKODE,20678.0,25581.0,16.02,34.035
ABUDHABI,LUCKNOW,1594.0,1724.0,0.41,0.0
ABUDHABI,MUMBAI,25865.0,25339.0,602.945,1071.3857
ABUDHABI,TIRUCHIRAPALLY,1855.0,2170.0,0.3,4.723
ABUDHABI,TRIVANDRUM,18817.0,17407.0,337.468,629.076
ABUDHABI,KANNUR,8226.0,8875.0,0.21,43.856
ABUDHABI,MANGALORE,3450.0,5249.0,0.09,5.661
ADDIS ABABA,DELHI,2798.0,2739.0,16.062,91.876
ADEN,MUMBAI,1617.0,1255.0,0.268,14.6645
AKTOBE,DELHI,0.0,151.0,0.0,0.0
AL AIN,KOZHIKODE,1196.0,1430.0,0.0,0.0
ALMATY,DELHI,453.0,945.0,0.103,14.12
ALMATY,GOA,858.0,334.0,0.0,0.0
AMSTERDAM,DELHI,18291.0,16484.0,729.604,1093.695
AMSTERDAM,MUMBAI,13152.0,13334.0,719.448,885.396
ANKARA,BENGALURU,0.0,0.0,0.0,68.07697000000002
BAGHDAD,DELHI,3706.0,4171.0,0.0,0.0
BAHRAIN,BENGALURU,359.0,432.0,647.943,35.48
BAHRAIN,CHENNAI,2263.0,3555.0,5.891,71.987
BAHRAIN,DELHI,11814.0,12092.0,72.165,949.1441
BAHRAIN,HYDERABAD,5480.0,6690.0,25.441,156.8581
BAHRAIN,KOCHI,8103.0,9691.0,3.069,133.552
BAHRAIN,KOZHIKODE,6768.0,7450.0,8.118,114.646
BAHRAIN,MUMBAI,3392.0,5877.0,5.9305,91.075
BAHRAIN,TIRUCHIRAPALLY,220.0,136.0,0.0,3.636
BAHRAIN,TRIVANDRUM,3997.0,5220.0,1.69,66.204
BAHRAIN,KANNUR,1023.0,1067.0,0.0,8.973
BAHRAIN,VIJAYAWADA,0.0,288.0,0.0,0.0
BAHRAIN,MANGALORE,998.0,817.0,0.08,11.566
BANGKOK,BENGALURU,0.0,0.0,5828.149,0.0
BANGKOK,CHENNAI,539.0,437.0,1273.826,809.271
BANGKOK,DELHI,5169.0,4489.0,3905.7709799999993,427.26660000000004
BANGKOK,HYDERABAD,0.0,0.0,0.0,31.54507
BANGKOK,KOLKATA,832.0,895.0,103.305,394.1597
BANGKOK,MUMBAI,621.0,524.0,1087.851,766.6585
BARCELONA,DELHI,0.0,0.0,0.0,65.31851999999999
BIRMINGHAM,AMRITSAR,3096.0,3197.0,0.0,129.23829999999998
BISHKEK,DELHI,26.0,1131.0,1.741,0.0
CAIRO,MUMBAI,0.0,0.0,337.211,456.308
CHICAGO,DELHI,41786.0,37290.0,901.89152,1085.64593
CHICAGO,HYDERABAD,981.0,206.0,21.5895,10.636
COLOGNE,DELHI,0.0,0.0,0.0,5425.113
COLOMBO,BENGALURU,10212.0,9408.0,144.648,263.842
COLOMBO,CHENNAI,44306.0,43363.0,703.497,799.176
COLOMBO,DELHI,11850.0,14619.0,563.1678,210.05617999999998
COLOMBO,HYDERABAD,6034.0,5338.0,2.298,57.867
COLOMBO,KOCHI,10591.0,9245.0,8.574,53.027358
COLOMBO,MUMBAI,11550.0,12799.0,488.2,547.076
COLOMBO,TIRUCHIRAPALLY,5584.0,5553.0,1.32,66.455
COLOMBO,TRIVANDRUM,8139.0,4921.0,1.935,72.6
COLOMBO,MADURAI,3773.0,3635.0,0.112,18.49
DAMMAM,DELHI,1617.0,4399.0,0.0,19.425199999999997
DAMMAM,HYDERABAD,767.0,1170.0,0.0,0.0
DAMMAM,KOCHI,2120.0,3311.0,0.0,21.689
DAMMAM,KOZHIKODE,3850.0,2187.0,0.0,55.435
DAMMAM,LUCKNOW,8829.0,52.0,0.96,0.0
DAMMAM,MUMBAI,777.0,4628.0,0.088,32.241
DAMMAM,TRIVANDRUM,2035.0,1836.0,0.0,44.54
DAMMAM,KANNUR,0.0,92.0,0.0,1.907
DAMMAM,MANGALORE,3058.0,1506.0,0.0,3.259
DHAKA,BENGALURU,0.0,0.0,7.0,0.0
DHAKA,CHENNAI,2503.0,2424.0,16.434,37.34
DHAKA,DELHI,9505.0,9755.0,1092.9820699999996,791.11344
DHAKA,KOLKATA,26365.0,27387.0,366.20777000000004,2827.0076999999997
DHAKA,MUMBAI,0.0,0.0,0.0,68.32887
DOHA,AHMEDABAD,7674.0,6947.0,2168.45559,2253.95395
DOHA,AMRITSAR,4725.0,2979.0,2.3035,30.805
DOHA,BENGALURU,19799.0,19244.0,2619.08181,3429.6619800000003
DOHA,CHENNAI,31150.0,32720.0,5408.09309,5594.07833
DOHA,DELHI,89885.0,89033.0,3669.4904000000006,5429.16407
DOHA,HYDERABAD,50342.0,49735.0,2704.00276,2990.8247300000003
DOHA,JAIPUR,894.0,0.0,0.0,0.0
DOHA,KOCHI,50472.0,57959.0,452.14078,1408.539
DOHA,KOLKATA,4147.0,3785.0,770.55387,1987.5251099999998
DOHA,KOZHIKODE,20984.0,29681.0,388.618,617.122
DOHA,LUCKNOW,708.0,577.0,0.0,1.457
DOHA,MUMBAI,74501.0,80755.0,5754.69483,5706.13759
DOHA,TIRUCHIRAPALLY,4464.0,5880.0,49.425,132.348
DOHA,TRIVANDRUM,10717.0,12711.0,1.3175999999999999,215.842
DOHA,KANNUR,12208.0,19133.0,160.114,174.933
DOHA,MANGALORE,2478.0,3187.0,109.33,104.567
DONCASTER,DELHI,0.0,0.0,15.646,0.0
DUBAI,AHMEDABAD,40309.0,42550.0,435.691038,1577.2506529999998
DUBAI,AMRITSAR,23414.0,25010.0,2.873,72.881
DUBAI,BENGALURU,39159.0,39364.0,2933.0717129999994,5840.450215
DUBAI,CHENNAI,59539.0,61383.0,3350.3042680000003,4395.567709
DUBAI,DELHI,131161.0,136412.0,4216.489157,10930.958274
DUBAI,GOA,1137.0,1221.0,0.0,0.09
DUBAI,HYDERABAD,66587.0,68549.0,679.75184,4352.812298999998
DUBAI,JAIPUR,14525.0,14563.0,2.389,0.072
DUBAI,KOCHI,75502.0,84834.0,785.2361999999999,2748.5920929999997
DUBAI,KOLKATA,23244.0,23897.0,449.673,1124.914995
DUBAI,KOZHIKODE,52463.0,64578.0,120.322,671.108
DUBAI,LUCKNOW,35434.0,42524.0,4.75,442.0407
DUBAI,MUMBAI,99947.0,107412.0,5634.4236980000005,12520.588960000001
DUBAI,TIRUCHIRAPALLY,13137.0,16345.0,2.087,195.327
DUBAI,TRIVANDRUM,31102.0,34799.0,36.0245,1405.771
DUBAI,KANNUR,7902.0,9463.0,0.2,5.024
DUBAI,VIJAYAWADA,3202.0,0.0,0.0,0.0
DUBAI,MADURAI,6138.0,6268.0,0.0,37.87108
DUBAI,MANGALORE,16860.0,20138.0,0.604,83.538
DUBAI,INDORE,1352.0,1385.0,0.0,0.0
FRANKFURT,BENGALURU,14096.0,13236.0,2367.7021,1984.0393000000001
FRANKFURT,CHENNAI,0.0,0.0,1620.784,22.494
FRANKFURT,DELHI,44969.0,43096.0,1594.6226000000004,2274.4148
FRANKFURT,MUMBAI,10916.0,10624.0,3979.034,1681.071
GUANGZHOU,DELHI,0.0,0.0,2053.763,964.919
GUANGZHOU,MUMBAI,0.0,0.0,0.0,289.745
HANOI,CHENNAI,0.0,0.0,17.7275,0.0
HANOI,DELHI,520.0,330.0,2441.3136600000007,66.9286
HANOI,KOLKATA,0.0,0.0,0.0,14.043
HANOI,MUMBAI,0.0,0.0,0.0,25.513009999999994
HELNSKI,DELHI,1821.0,2791.0,111.961,98.442
HO CHI MINH CITY,BENGALURU,0.0,0.0,25.0,0.0
HO CHI MINH CITY,CHENNAI,0.0,0.0,234.876,11.0
HO CHI MINH CITY,DELHI,0.0,0.0,179.9133,5.8235
HO CHI MINH CITY,KOLKATA,0.0,0.0,110.179,15.602
HONG KONG,BENGALURU,0.0,0.0,3032.845,1980.779
HONG KONG,CHENNAI,0.0,0.0,6008.639699999999,2764.0423499999997
HONG KONG,DELHI,2031.0,1603.0,15632.804880000002,3311.6976000000004
HONG KONG,HYDERABAD,0.0,0.0,306.195,326.448
HONG KONG,KOLKATA,0.0,390.0,1687.4224100000001,1087.0321000000001
HONG KONG,MUMBAI,0.0,223.0,3668.1435,2801.996
ISTANBUL,AHMEDABAD,0.0,0.0,183.093,1265.508
ISTANBUL,BENGALURU,0.0,0.0,1002.092,1365.338
ISTANBUL,CHENNAI,0.0,0.0,1802.197,1483.979
ISTANBUL,DELHI,171.0,0.0,1820.076,1802.666
ISTANBUL,HYDERABAD,0.0,0.0,476.057,2437.751
ISTANBUL,MUMBAI,0.0,0.0,4366.065,4047.151
JEDDAH,HYDERABAD,1189.0,163.0,0.0,0.0
