NAME OF THE AIRLINE ,APRIL PASSENGERS TO INDIA,APRIL PASSENGERS FROM INDIA,APRIL FREIGHT TO INDIA,APRIL FREIGHT FROM INDIA,MAY PASSENGERS TO INDIA,MAY PASSENGERS FROM INDIA,MAY FREIGHT TO INDIA,MAY FREIGHT FROM INDIA,JUNE PASSENGERS TO INDIA,JUNE PASSENGERS FROM INDIA,JUNE FREIGHT TO INDIA,JUNE FREIGHT FROM INDIA
AIR INDIA,92066.0,103187.0,2647.5493,3067.2553999999996,51339.0,37925.0,2864.292,2423.9819999999995,54596.0,28996.0,1891.6473999999998,2746.8410000000003
AIR INDIA EXPRESS,87110.0,74573.0,310.642,1431.849,43803.0,5299.0,467.044,1431.849,60787.0,5940.0,545.225,1686.873
BLUE DART AVIATION,0.0,0.0,2.644,64.827,0.0,0.0,175.409,16.258,0.0,0.0,0.0,68.343
GO AIR,20759.0,18802.0,0.47165999999999997,148.03474,5289.0,1039.0,0.1,12.4645,1395.0,732.0,0.0,32.46
INDIGO,91973.0,83519.0,490.54296999999997,2959.178050000001,37486.0,22794.0,932.17,1953.897,36903.0,22772.0,544.318,2028.493
SPICEJET,34117.0,33873.0,2472.8762499999993,3162.6854500000004,9304.0,2257.0,2720.54495,2160.42467,4167.0,1723.0,2095.84787,2959.1702800000003
VISTARA AIRLINES,6141.0,10064.0,250.039,300.62,1514.0,4417.0,136.422,262.591,1897.0,3736.0,158.213,197.427
