CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2
ALASKA,MIAMI,0.0,0.0,128.29699,0.0
COLOMBO,MALE,0.0,0.0,118.0,3.0
HANOI,HO CHI MINH CITY,2.0,0.0,0.0,0.0
HELNSKI,MADRID,0.0,0.0,71.8525,0.0
HONG KONG,ALASKA,0.0,0.0,84.961,0.0
HONG KONG,HELNSKI,0.0,0.0,71.8525,0.0
HONG KONG,NARITA,0.0,0.0,43.335989999999995,0.0
HONG KONG,DUBAI,0.0,0.0,158.26952000000003,0.0
NARITA,ALASKA,0.0,0.0,43.335989999999995,0.0
PRAGUE,TORONTO,297.0,0.0,0.0,0.0
RAS AL-KHAIMAH,KHARTOUM,0.0,0.0,32.691,0.0
SEOUL,HONG KONG,0.0,0.0,56.25898999999999,0.0
