NAME OF THE AIRLINE ,JANUARY PASSENGERS TO INDIA,JANUARY PASSENGERS FROM INDIA,JANUARY FREIGHT TO INDIA,JANUARY FREIGHT FROM INDIA,FEBRUARY PASSENGERS TO INDIA,FEBRUARY PASSENGERS FROM INDIA,FEBRUARY FREIGHT TO INDIA,FEBRUARY FREIGHT FROM INDIA,MARCH PASSENGERS TO INDIA,MARCH PASSENGERS FROM INDIA,MARCH FREIGHT TO INDIA,MARCH FREIGHT FROM INDIA
AIR INDIA,108332.0,98097.0,2230.4958,2349.764199999999,112431.0,99016.0,2446.1040000000007,3104.6693000000005,121895.0,111425.0,2815.192200000001,3247.4852000000005
AIR INDIA EXPRESS,113544.0,98301.0,106.459,1281.78,94933.0,87302.0,97.143,1283.774,114163.0,97356.0,194.819,1472.189
BLUE DART AVIATION,0.0,0.0,13.063,2.018,0.0,0.0,34.232,3.916,0.0,0.0,3.094,97.302
GO AIR,37139.0,23345.0,2.4595,190.861,29966.0,25624.0,3.4985,142.04,28498.0,23530.0,0.0,37.35731
INDIGO,95976.0,82438.0,778.51013,2282.3844599999998,95516.0,86253.0,593.98849,2199.1698499999998,111440.0,97978.0,770.3775,2772.6544299999996
SPICEJET,51444.0,45383.0,1110.29363,2607.32229,41855.0,40310.0,661.898,2509.08048,44810.0,42079.0,921.0790100000002,3206.417200000001
VISTARA AIRLINES,5019.0,7714.0,75.238,144.245,6999.0,8244.0,172.786,205.995,9200.0,10397.0,238.501,302.531
