CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2
ALMATY,RIGA,0.0,0.0,29.897470000000002,0.0
ANKARA,NEW YORK,0.0,0.0,68.07697000000002,0.0
BAHRAIN,DAMMAM,180.0,0.0,0.0,0.0
BELGRADE,ISTANBUL,171.0,0.0,0.0,0.0
BISHKEK,LIEGE,0.0,0.0,145.78676000000002,0.0
DUBAI,RAS AL-KHAIMAH,174.0,0.0,0.0,0.0
HANOI,SEOUL,0.0,0.0,35.00050999999999,0.0
HONG KONG,ALMATY,0.0,0.0,29.897470000000002,0.0
HONG KONG,RIGA,0.0,0.0,65.8075,0.0
HONG KONG,BISHKEK,0.0,0.0,145.78676000000002,0.0
Kaunas,Caracas,0.0,0.0,37.39986999999999,0.0
LIEGE,NEW YORK,0.0,0.0,60.92162,0.0
LISBON,NEWARK,0.0,0.0,194.07943,0.0
RIGA,NEW YORK,0.0,0.0,119.14730999999998,0.0
SEOUL,Los Angeles,0.0,0.0,35.00050999999999,0.0
TBILISI,BELGRADE,192.0,0.0,0.0,0.0
