NAME OF THE AIRLINE ,OCTOBER PASSENGERS TO INDIA,OCTOBER PASSENGERS FROM INDIA,OCTOBER FREIGHT TO INDIA,OCTOBER FREIGHT FROM INDIA,NOVEMBER PASSENGERS TO INDIA,NOVEMBER PASSENGERS FROM INDIA,NOVEMBER FREIGHT TO INDIA,NOVEMBER FREIGHT FROM INDIA,DECEMBER PASSENGERS TO INDIA,DECEMBER PASSENGERS FROM INDIA,DECEMBER FREIGHT TO INDIA,DECEMBER FREIGHT FROM INDIA
OMAN AIR,13435.0,14971.0,417.9421,893.844,14420.0,16846.0,508.24240000000003,887.4415,16946.0,19522.0,583.9655,850.9239399999999
QATAR AIRWAYS,80346.0,72429.0,7690.187449999999,10733.54207,71867.0,68013.0,7074.530640000001,8013.5147000000015,84011.0,86311.0,8356.041640000001,8660.05259
ROSSIYA AIRLINES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,510.0,0.0,0.0,0.0
RWANDAIR,1502.0,1663.0,0.0,0.0,1780.0,1783.0,0.0,0.0,1789.0,1780.0,0.0,0.0
SCAT AIRLINES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,858.0,334.0,0.0,0.0
SCOOT TIGER AIR,0.0,0.0,0.0,0.0,155.0,5.0,0.001,0.149,3455.0,1956.0,3.903,29.710309999999996
SINGAPORE AIRLINES,0.0,0.0,0.0,0.0,2295.0,607.0,115.1965,111.7328,24736.0,27896.0,2076.83707,1648.5675800000001
SRILANKAN AIRWAYS,16007.0,15507.0,556.669,688.043,31897.0,31012.0,422.272,555.133358,37250.0,34807.0,366.375,685.172
SWISS AIR,0.0,0.0,242.644,388.211,0.0,0.0,258.971,279.088,0.0,0.0,238.972,339.428
THAI AIRWAYS,0.0,30.0,1101.717,567.79,126.0,165.0,1027.006,604.64,1886.0,1726.0,1682.899,737.729
TURKISH AIRLINES,0.0,0.0,3144.893,4179.569,0.0,0.0,3461.183,4187.194,0.0,0.0,3393.411,4035.63
UNITED AIRLINES,27762.0,18378.0,377.3751,1591.2005099999997,30397.0,27758.0,280.19528,802.94227,31631.0,33296.0,330.29407,609.1372700000001
UNITED PARCEL SERVICES,0.0,0.0,979.757,1385.76,0.0,0.0,79.99,1665.758,0.0,0.0,739.623,2467.819
US BANGLA AIRLINES,517.0,467.0,0.0,5.137,1080.0,1077.0,0.0,21.748,1221.0,1257.0,0.0,25.195
UZBEKISTAN AIRWAYS,894.0,868.0,35.267,61.226,1314.0,1271.0,19.132,64.829,1188.0,1127.0,7.713,58.453
VIRGIN ATLANTIC AIRLINES,9030.0,10499.0,940.072,1241.516,6418.0,6499.0,226.111,573.775,12216.0,12562.0,704.131,1223.577
YEMENIA AIRWAYS,442.0,295.0,0.0,4.2352,584.0,418.0,0.19,4.433,591.0,542.0,0.078,5.9963
