NAME OF THE COUNTRY,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA
AUSTRALIA,6460.0,6158.0,90.9644,102.8101
BAHRAIN,44417.0,53315.0,770.3275,1643.1212000000003
BANGLADESH,38373.0,39566.0,1482.6238399999995,3723.7900099999997
BELGIUM,0.0,0.0,2.822,418.4631900000001
BHUTAN,2267.0,2106.0,0.892,20.796599999999998
BURMA,1534.0,942.0,374.77977999999996,805.9322699999999
CANADA,98087.0,109161.0,719.2809,955.5713
CHINA,0.0,0.0,5605.993890000001,1822.67
EGYPT,0.0,0.0,337.211,456.308
Estonia,0.0,0.0,0.0,41.14301
ETHIOPIA,2798.0,2739.0,16.062,91.876
FINLAND,1821.0,2791.0,111.961,98.442
FRANCE,48984.0,46238.0,2786.2145,4991.327
GEORGIA,1836.0,2770.0,0.0,0.0
GERMANY,69981.0,66956.0,13649.333200000001,25799.812830000003
HONG KONG,2031.0,2216.0,30336.050489999998,12271.99505
IRAN,1224.0,2087.0,42.21,160.317
IRAQ,3706.0,4171.0,0.0,0.0
ISRAEL,2200.0,2761.0,382.1395,486.84990000000005
ITALY,8446.0,5244.0,19.584799999999998,738.8442
JAPAN,10393.0,10274.0,1837.9621000000002,1961.9554
KAZAKHSTAN,1311.0,2291.0,0.103,20.559
KENYA,10707.0,10634.0,0.06,133.65570000000002
KOREA,1494.0,1306.0,741.9759,272.82939999999996
KUWAIT,181019.0,155397.0,200.9155,5643.310260000001
KYRGYZSTAN,26.0,2730.0,1.741,0.0
LATVIA,0.0,0.0,0.0,160.61632
LITHUANIA,0.0,0.0,0.0,37.39986999999999
MALAYSIA,23815.0,10744.0,7499.887,3710.342
MALDIVES,115305.0,114002.0,4.914,1357.72422
MAURITIUS,3333.0,3468.0,30.442,611.439
NEPAL,31128.0,34400.0,65.474,167.881
NETHERLANDS,31443.0,29818.0,1465.73723,2166.90733
OMAN,125852.0,137655.0,1530.6295,3235.6720400000004
POLAND,0.0,0.0,465.316,1285.857
PORTUGAL,0.0,0.0,0.0,220.69648999999998
QATAR,385148.0,414326.0,24257.621230000004,30076.958759999998
RUSSIA,13616.0,13998.0,189.96020000000001,610.9115
RWANDA,5071.0,5226.0,0.0,0.0
SAUDI ARABIA,76022.0,66707.0,6.6675,407.4198
SEYCHELLES,1347.0,2144.0,0.0,0.0
SINGAPORE,65420.0,62647.0,3384.2795100000003,3609.838280000001
SPAIN,0.0,0.0,0.0,65.31851999999999
SRI LANKA,112720.0,109496.0,1913.7518,2088.5895379999997
SWITZERLAND,0.0,0.0,740.587,1006.727
TAIWAN,0.0,0.0,59.704,21.638
THAILAND,8091.0,7461.0,12198.90198,2428.90087
TURKEY,171.0,0.0,9649.58,12470.46997
UNITED ARAB EMIRATES,1617110.0,1918552.0,22598.942514,61430.84237800002
UNITED KINGDOM,142979.0,148168.0,5928.233899999999,8408.713900000002
UNITED STATES,174583.0,151957.0,2571.08205,4716.660249999999
UZBEKISTAN,3396.0,3266.0,62.112,184.508
VIETNAM,520.0,330.0,3009.00946,138.91010999999997
YEMEN,1617.0,1255.0,0.268,14.6645
