CITY 1,CITY 2,PASSENGERS TO CITY 2,PASSENGERS FROM CITY 2,FREIGHT TO CITY 2,FREIGHT FROM CITY 2
ALASKA,MIAMI,0.0,0.0,116.9575,0.0
ALMATY,RIGA,0.0,0.0,29.897470000000002,0.0
DUBAI,DOHA,137.0,0.0,0.0,0.0
DUBAI,KATHMANDU,0.0,0.0,104.43,0.0
FRANKFURT,OSTEND,0.0,0.0,1.64,0.0
HANOI,VIENTIANE,123.0,0.0,0.0,0.0
HONG KONG,RIYADH,0.0,0.0,43.228,0.0
HONG KONG,DUBAI,0.0,0.0,124.608,0.0
HONG KONG,ALMATY,0.0,0.0,29.897470000000002,0.0
HONG KONG,OSAKA,0.0,0.0,116.9575,0.0
ISTANBUL,BELGRADE,1143.0,0.0,0.0,0.0
ISTANBUL,TIRANA,763.0,0.0,0.0,0.0
LISBON,NEWARK,0.0,0.0,47.000989999999994,0.0
MALE,TORONTO,2046.0,0.0,0.0,0.0
MALTA,NEW YORK,0.0,0.0,35.451,0.0
OSAKA,ALASKA,0.0,0.0,116.9575,0.0
SEOUL,HONG KONG,0.0,0.0,15.693,0.0
SOFIA,BARCELONA,0.0,0.0,48.78444,0.0
SOFIA,ZARAGOZA,0.0,0.0,95.98463000000001,0.0
TBILISI,NEW YORK,0.0,0.0,34.444,0.0
YEREVAN,BELGRADE,150.0,0.0,0.0,0.0
YEREVAN,ROME,215.0,0.0,0.0,0.0
