NAME OF THE COUNTRY,PASSENGERS TO INDIA,PASSENGERS FROM INDIA,FREIGHT TO INDIA,FREIGHT FROM INDIA
AFGHANISTAN,8610.0,13179.0,543.70746,1220.8189000000002
ARMENIA,0.0,508.0,0.0,0.0
AUSTRALIA,131.0,257.0,13.1085,20.703
AUSTRIA,0.0,0.0,17.2715,0.0
BAHRAIN,17504.0,24435.0,812.237,557.8444000000001
BANGLADESH,5091.0,5377.0,714.5391299999999,2126.4926100000002
BELGIUM,0.0,0.0,118.52860000000001,390.31618000000003
BHUTAN,159.0,200.0,0.0,1.3416
BURMA,437.0,184.0,267.43168,404.10052
CAMBODIA,146.0,75.0,0.0,0.0
CANADA,9131.0,18231.0,157.61530000000002,251.006
CHINA,0.0,0.0,4831.24719,1907.67
CROATIA,0.0,28.0,0.0,0.0
EGYPT,0.0,44.0,580.851,1172.964
ETHIOPIA,2176.0,2586.0,34.255,92.047
FRANCE,11077.0,33225.0,3256.6026,4533.363700000001
GEORGIA,0.0,168.0,0.0,0.0
GERMANY,16878.0,35577.0,14274.4025,21657.970550000002
HONG KONG,410.0,386.0,42814.78328000001,11083.53434
IRAN,482.0,582.0,143.67,87.456
IRAQ,1116.0,3024.0,0.0,0.0
ISRAEL,570.0,1506.0,89.459,81.21170000000001
ITALY,2373.0,4404.0,145.8678,308.1946
JAPAN,2932.0,6187.0,2416.5705000000003,1453.6531699999998
KAZAKHSTAN,0.0,153.0,0.0,31.228
KENYA,2149.0,3586.0,0.396,85.46839999999999
KOREA,656.0,2005.0,1230.3388,591.0837
KUWAIT,34651.0,10030.0,160.677,3566.9654000000005
MALAYSIA,12413.0,1547.0,5175.65069,2941.0342600000004
MALDIVES,20955.0,24498.0,16.27105,1069.14031
MALTA,0.0,0.0,0.0,43.923
MAURITIUS,493.0,548.0,7.472,618.302
NEPAL,3735.0,5811.0,5.461399999999999,62.1905
NETHERLANDS,8565.0,19427.0,1967.926,2465.85
NIGERIA,0.0,0.0,0.0,466.61195
OMAN,61222.0,35232.0,539.7063,2255.1774999999993
POLAND,0.0,0.0,607.627,1218.213
QATAR,150378.0,179381.0,27092.53508000001,33792.23609999999
RUSSIA,5705.0,10438.0,144.6144,569.10046
SAUDI ARABIA,67280.0,10173.0,8.677,774.2825
SEYCHELLES,148.0,348.0,0.056,0.524
SINGAPORE,17732.0,7012.0,1017.4351200000001,1990.1480499999998
SOUTH AFRICA,0.0,0.0,0.0,37.093
SPAIN,0.0,0.0,0.0,38.44449999999999
SRI LANKA,3310.0,1945.0,2040.0783000000001,1536.6477
SWITZERLAND,0.0,0.0,835.326,1351.331
TAIWAN,0.0,0.0,386.456,211.51
TAJIKISTAN,0.0,0.0,3.687,38.803
THAILAND,1738.0,875.0,7361.596200000001,1512.6300099999999
TURKEY,206.0,206.0,9827.94078,10392.9555
TURKMENISTAN,0.0,0.0,0.0,1146.892
UNITED ARAB EMIRATES,643669.0,338339.0,23398.248203000003,56115.900366
UNITED KINGDOM,26602.0,60613.0,5320.9187999999995,7671.285099999999
UNITED STATES,71004.0,104842.0,3293.7980400000006,4604.2071399999995
UZBEKISTAN,2405.0,4009.0,65.867,220.05698999999998
VIETNAM,307.0,315.0,1978.3190200000004,198.61197000000004
YEMEN,386.0,546.0,0.0,4.316
