NAME OF THE AIRLINE ,JULY PASSENGERS TO INDIA,JULY PASSENGERS FROM INDIA,JULY FREIGHT TO INDIA,JULY FREIGHT FROM INDIA,AUGUST PASSENGERS TO INDIA,AUGUST PASSENGERS FROM INDIA,AUGUST FREIGHT TO INDIA,AUGUST FREIGHT FROM INDIA,SEPTEMBER PASSENGERS TO INDIA,SEPTEMBER PASSENGERS FROM INDIA,SEPTEMBER FREIGHT TO INDIA,SEPTEMBER FREIGHT FROM INDIA
AIR INDIA,72397.0,36830.0,1739.6996999999997,2914.601,87201.0,92497.0,2052.7292,3400.2075000000004,93108.0,125494.0,2466.9519999999993,3635.587
AIR INDIA EXPRESS,89756.0,7765.0,557.869,1918.385,74178.0,55373.0,404.332,1973.272,73939.0,110873.0,422.266,1719.55
BLUE DART AVIATION,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,554.296,17.887
GO AIR,5107.0,3340.0,0.0,60.91425,12086.0,25366.0,4.25,178.19726,18522.0,37964.0,2.345,252.50894
INDIGO,58327.0,43035.0,553.828,2452.627,54938.0,106422.0,559.728,3150.901,87617.0,151486.0,1143.173,4065.941
SPICEJET,4610.0,7445.0,2590.3199900000004,4097.89285,6941.0,22583.0,2648.6151200000004,2556.9732999999997,20488.0,37777.0,2764.0112399999985,2142.54192
VISTARA AIRLINES,4154.0,4880.0,122.791,235.253,6605.0,13075.0,194.479,415.221,6762.0,22834.0,315.2035,509.52
